course_id,course_title,course_code,lab_theory,dept_id,semester,syllabus_intro_year,grad_level
536,Foundation Mathematics for Machine Learning II,4C04MAT-ICS,T,10,4,2020,UG
537,Statistical Inference,4C04STA-ICS,T,12,4,2020,UG
538,Economic Historyof Modern India 1793 - 1947,3C07HIS,T,4,3,2019,UG
539,Plant Propagation,5D03BOT,T,7,5,2019,UG
540,Basic Accounting,5D01COM,T,14,5,2019,UG
541,Principles of Management,5D03COM,T,14,5,2019,UG
542,Environmental Studies,5D03CHE,T,8,5,2019,UG
543,Web Technology,5D02CSC,T,9,5,2019,UG
544,Python Programming,5D05CSC,T,9,5,2019,UG
545,Basics of Economics,5D01ECO,T,1,5,2019,UG
546,Social Reform Movements in Kerala,5D01HIS,T,4,5,2019,UG
547,India's Struggle for Freedom,5D02HIS,T,4,5,2019,UG
548,Cultural Heritage of North Malabar,5D03HIS,T,4,5,2019,UG
549,Quantitative Arithmetic and Reasoning,5D02MAT,T,10,5,2019,UG
550,Graph Theory,5D04MAT,T,10,5,2019,UG
551,Biophysics,5D03PHY,T,11,5,2019,UG
552,Electricity in Daily Life,5D05PHY,T,11,5,2019,UG
553,Human Rights in India,5D01POL,T,6,5,2019,UG
554,Herbal Literacy and Ethnobotanical Awareness,5D02SKT,T,16,5,2019,UG
555,Literary Wolrd of Kalidasa,5D052SKT,T,16,5,2019,UG
556,Sampling Techniques,5D02STA,T,12,5,2019,UG
557,Index Numbers and Time Series,5D04STA,T,12,5,2019,UG
558,Apiculture,5D02ZLG,T,13,5,2019,UG
559,Sericulture,5D03ZLG,T,13,5,2019,UG
560,Exercise is Medicine,5D05PED,T,15,5,2019,UG
564,Sahithya Aur Prayog,2A08-2HIN,T,3,1,2019,UG
568,Natak Aur Ekangi,4A10HIN,T,3,4,2019,UG
569,Readings on Philosophy of Knowledge,4A06ENG,T,2,4,2019,UG
574,Drishya Kala Sahithyam,4A10MAL,T,5,4,2019,UG
575,Introduction to C Programming,1B01ICSC,T,9,1,2020,UG
576,Lab 1 - C Programming,2B03ICSC,L,9,1,2020,UG
577,Differential Calculus and Linear Algebra I,1C01MAT-ICS,T,10,1,2020,UG
578,Basic Statistics,1C01STA-ICS,T,12,1,2020,UG
579,Macro Economics Analysis II,6B13ECO,T,1,6,2019,UG
580,Puublic Economics,6B14ECO,T,1,6,2019,UG
581,Basic Econometric Analysis,6B15ECO,T,1,6,2019,UG
582,Basic Tools for Economic Analysis II,6B12ECO,T,12,6,2019,UG
583,Real Analysis II,6B10MAT,T,10,6,2019,UG
584,Complex Analysis,6B11MAT,T,10,6,2019,UG
585,"Numerical Methods, Fourier Series and Partial Differential Equations",6B12MAT,T,10,6,2019,UG
586,Linear Algebra,6B13MAT,T,10,6,2019,UG
587,Operations Research,6B14MAT,T,10,6,2019,UG
588,Number Theory and Applications of Integrals,4B04MAT,T,10,4,2019,UG
589,Mathematics for Chemistry IV,4C04MAT-CH,T,10,4,2019,UG
590,Mathematics for Physics IV,4C04MAT-PH,T,10,4,2019,UG
591,Mathematics for Statistics IV,4C04MAT-ST,T,10,4,2019,UG
592,Research Methods and Techniques for Economic Analysis,4B05ECO,T,1,4,2019,UG
593,Environmental Economics,4B06ECO,T,1,4,2019,UG
594,Project,6B16ECO,P,1,6,2019,UG
595,lndian National Movement,4C08HIS,T,4,4,2019,UG
596,History of India VI: Developments since Independence (1947 - 2000),6B12HIS,T,4,6,2019,UG
597,History of the Contemporary World (1945-2000),6B13HIS,T,4,6,2019,UG
598,Indian Historiography,6B14HIS,T,4,6,2019,UG
599,Project,6B15HIS,T,4,6,2019,UG
600,Bhasha Shasthram,6B12MAL,T,5,6,2019,UG
601,Maadhyama Padanam,6B13MAL,T,5,6,2019,UG
602,Vivara Sankethika Vidyayum Malayalavum,6B14MAL,T,5,6,2019,UG
603,Vivarthana Sahithyam,6B15MAL,T,5,6,2019,UG
604,Project,6B16MAL,P,5,6,2019,UG
605,Dynamics of Indian Political System,4C04POL,T,6,4,2019,UG
606,Core Practical I,4B05PLS,L,7,2,2019,UG
607,Core Practical I,4B05PLS,L,7,4,2019,UG
608,CE Practical - Botany,4C05PLS,L,7,2,2019,UG
609,CE Practical - Botany,4C05PLS,L,7,3,2019,UG
610,CE Practical - Botany,4C05PLS,L,7,4,2019,UG
611,Plant Diversity II – Pteridophytes and Gymnosperms,4B04PLS,T,7,4,2019,UG
612,Plantation Management,4A13PLS,T,7,4,2019,UG
613,Herbal Science,4A14PLS,T,7,4,2019,UG
614,General Practical,4A15PLS,L,7,4,2019,UG
615,Environmental Science and Phytogeography,6B10PLS,T,7,6,2019,UG
616,"Genetics, Molecular Biology and Plant Breeding",6B11PLS,T,7,6,2019,UG
617,Biotechnology and Bioinformatics,6B12PLS,T,7,6,2019,UG
618,Evolution and Palaeobotany,6B13PLS,T,7,6,2019,UG
619,Core Practical II,6B14PLS,L,7,6,2019,UG
620,Core Practical III,6B15PLS,L,7,6,2019,UG
621,Polymer Chemistry III,4A13PCH,T,8,4,2019,UG
622,Polymer Chemistry III (Practical),4A13(A)PCH,L,8,4,2019,UG
623,Polymer Chemistry IV,4A14PCH,T,8,4,2019,UG
624,Organic Chemistry-II,4B06PCH,T,8,4,2019,UG
625,Core Course Practicals 2 - Inorganic Qualitative Analysis,4B05PCH,L,8,4,2019,UG
626,Core Course Practicals 1 - Volumetric Analysis,4B03PCH,L,8,4,2019,UG
627,Computation Using Python,4C04CSC,T,9,4,2019,UG
628,Introduction to Artificial Intelligence,5B14ICSC,T,9,5,2020,PG
629,Software Engineering,5B15ICSC,T,9,5,2020,PG
630,UNIX Shell Programming,5B16ICSC,T,9,5,2020,PG
631,Introduction to Machine Learning,5B17ICSC,T,9,5,2020,PG
632,Lab-6 : UNIX Shell Programming,5B18ICSC,L,9,5,2020,PG
633,Lab-7: Machine Learning,5B19ICSC,L,9,5,2020,PG
634,General Physics Practical I,4B05PHY,L,11,4,2019,UG
635,Physics Practical,4C05PHY,L,11,4,2019,UG
636,Electronics I,4B04PHY,T,11,4,2019,UG
637,Electronics and Modern Physics,4C04PHY,T,11,4,2019,UG
638,Solid State Physics and Spectroscopy,6B10PHY,T,11,6,2019,UG
639,Optics and Photonics,6B11PHY,T,11,6,2019,UG
640,"Nuclear, Particle and Astrophysics",6B12PHY,T,11,6,2019,UG
641,Electrodynamics and Circuit Theory,6B13PHY,T,11,6,2019,UG
642,Material Science,6B14PHY,T,11,6,2019,UG
643,General Physics Practical II,6B15PHY,L,11,6,2019,UG
644,Electronics Practical III,6B16PHY,L,11,6,2019,UG
645,Project,6B17PHY,P,11,6,2019,UG
646,Differential Calculus and Linear Algebra II,2C02MAT-ICS,T,10,2,2020,UG
647,Probability Theory and Random Variables,2C02STA-ICS,T,12,2,2020,UG
648,Statistical Inference – I,4B04STA,T,12,4,2019,UG
649,Statistical Inference,4C04STA,T,12,4,2019,UG
650,Mathematical Methods for Statistics – II,6B10STA,T,12,6,2019,UG
651,Mathematical Methods for Statistics – III,6B11STA,T,12,6,2019,UG
652,Sampling Techniques and Design of Experiments,6B12STA,T,12,6,2019,UG
653,Applied Statistics,6B13ASTA,T,12,6,2019,UG
654,Practical Using R – II,6B14STA,L,12,6,2019,UG
655,Project,6B15STA,P,12,6,2019,UG
656,Practical-I,4B01ZLG-P,L,13,2,2019,UG
657,Practical-I,4B01ZLG-P,L,13,4,2019,UG
658,Practical,4C05ZLG-P,L,13,2,2019,UG
659,Practical,4C05ZLG-P,L,13,4,2019,UG
660,Chordata-II and Comparative Anatomy,4B04ZLG,T,13,4,2019,UG
661,Medical Zoology,4C04ZLG,T,13,4,2019,UG
662,"Cell Biology, Immunology and Microbiology",6B09ZLG,T,13,6,2019,UG
663,Molecular Biology and Bioinformatics,6B10ZLG,T,13,6,2019,UG
664,Environmental Science,6B11ZLG,T,13,6,2019,UG
665,Developmental Biology,6B12ZLG,T,13,6,2019,UG
666,Core Practical II,6B02ZLG-P,L,13,6,2019,UG
667,Core Practical III,6B03ZLG-P,L,13,6,2019,UG
668,Project,6B13ZLG,P,13,6,2019,UG
669,Corporate Accounting,4B05COM,T,14,4,2019,UG
670,Management of Cooperatives,4B06COM,T,14,4,2019,UG
671,General Informatics Skills,4A13COM,T,14,4,2019,UG
672,Environmental Studies and Disaster Management,4A14COM,T,14,4,2019,UG
673,Corporate Law and Business Regulations,4C04COM,T,14,4,2019,UG
674,Financial Markets and Services,6B12COM,T,14,6,2019,UG
675,Management Accounting,6B13COM,T,14,6,2019,UG
676,Auditing and Corporate Governance,6B14COM,T,14,6,2019,UG
677,Income Tax and GST,6B15COM,T,14,6,2019,UG
678,Co-operative Accounting and Legislations,6B16COM,T,14,6,2019,UG
679,Project,6B17COM,T,14,6,2019,UG
680,Environmental History of India,6B16HIS-B,T,4,6,2019,UG
681,History of India III: Sultanate to British Conquest (1206 -1757),4B05HIS,T,4,4,2019,UG
682,Ideologies and Revolutions in the Modern World,4B06HIS,T,4,4,2019,UG
683,Paaschaathya Saahithya Sidhaanthangal,4B05MAL,T,5,4,2019,UG
684,Praacheena Madhyakaala Saahithyam,4B06MAL,T,5,4,2019,UG
685,Malabar Padanangal,4C04MAL,T,5,4,2019,UG
686,Complementary Elective Course Practical,4C05CHE,L,8,1,2019,UG
687,Complementary Elective Course Practical,4C05CHE,L,8,2,2019,UG
688,Polymer Chemistry II (Practical),3A12(A)PCH,L,8,3,2019,UG
689,Complementary Elective Course Practical,4C05CHE,L,8,4,2019,UG
690,Chemistry (For Biological Science),4C04CHE-BS,T,8,4,2019,UG
691,Chemistry (For Physical Science),4C04CHE-PS,T,8,4,2019,UG
692,Organic Chemistry III,6B14PCH,T,8,6,2019,UG
693,Physical Chemistry III,6B15PCH,T,8,6,2019,UG
694,Physical Methods in Chemistry,6B16PCH,T,8,6,2019,UG
695,Environmental Chemistry,6B17PCH,T,8,6,2019,UG
696,Core Course Practicals 5 Physical Chemistry,6B18CHE,L,8,6,2019,UG
697,Practicals 3: Gravimetric Analysis,6B11PCH,L,8,6,2019,UG
698,Practicals 4: Organic Chemistry,6B12PCH,L,8,6,2019,UG
699,Project,6B13PCH,L,8,6,2019,UG
700,"Plant Physiology, Ecology and Applied Botany",4C04BOT,T,7,4,2019,UG
701,Sahithya Aur Prayog,2A08-2HIN,T,3,2,2019,UG
702,Lab 1 - C Programming,2B03ICSC,L,9,2,2020,UG
703,Advanced C Programming,2B02ICSC,T,9,2,2020,UG
704,Web Technology,6B20ICSC,T,9,6,2020,PG
705,Introduction to Deep Learning,6B21ICSC,T,9,6,2020,PG
706,Computer Networks,6B22ICSC,T,9,6,2020,PG
707,Design and Analysis of Algorithms,6B23ICSC,T,9,6,2020,PG
708,Lab-8: Web Technology,6B24ICSC,L,9,6,2020,PG
709,Project,6B25ICSC,L,9,6,2020,PG
710,Novel Vaayana,5D03MAL,T,5,5,2019,UG
711,Mathematical Models of Machine Learning - 1,7B26ICSC,T,9,7,2020,PG
712,Theory of Computation,7B27ICSC,T,9,7,2020,PG
713,Soft Computing Techniques,7B28ICSC,T,9,7,2020,PG
714,Digital Image Processing,7B29ICSC,T,9,7,2020,PG
715,Lab-9: Digital Image Processing,7B31ICSC,L,9,7,2020,PG
716,Lab-10 : Soft Computing Techniques,7B32ICSC,L,9,7,2020,PG
717,Mathematical Models of Machine Learning - II,8B33ICSC,T,9,8,2020,PG
718,Advanced Artificial Inteligence,8B34ICSC,T,9,8,2020,PG
719,Advanced Machine Learning Techniques,8B35ICSC,T,9,8,2020,PG
720,Data Mining,8B36ICSC,T,9,8,2020,PG
721,Research Methodology,8B37ICSC,T,9,8,2020,PG
722,Lab-11 Case Study (Data Mining),8B38ICSC,L,9,8,2020,PG
723,Lab-12 Advanced Machine Learning,8B39ICSC,L,9,8,2020,PG
